Lslg: 15.3|v0: 0.0|PtbgT: 0.0|Hplg: 0.0|Ltbg: 0.0|PcsgT: 721853.1591796875|gasflow: 0.0|tempo: 0.0|Qlres: 0.0|pp: 0.0|stage: 1.0|PcsgB: 0.0|
Lslg: 15.3|v0: -0.12895796279363198|PtbgT: 612965.8730367308|Hplg: -0.001253029337223762|Ltbg: 0.06033119312159693|PcsgT: 758688.5786986848|gasflow: 14889.003269241895|tempo: 0.3100000000000001|Qlres: 24.98154910946627|pp: 640880.4631204188|stage: 3.0|PcsgB: 829113.8894244662|
Lslg: 15.3|v0: -0.12895796279363198|PtbgT: 612965.8730367308|Hplg: -0.001253029337223762|Ltbg: 0.06033119312159693|PcsgT: 758688.5786986848|gasflow: 14889.003269241895|tempo: 0.3200000000000001|Qlres: 24.98154910946627|pp: 640880.4631204188|stage: 3.0|PcsgB: 829113.8894244662|
Lslg: 15.3|v0: -0.12039927925367058|PtbgT: 612965.1055478342|Hplg: -0.001161199374851464|Ltbg: 0.06319821575792021|PcsgT: 760442.5653429569|gasflow: 14886.19682156872|tempo: 0.3300000000000001|Qlres: 24.976840304645503|pp: 640879.6602981781|stage: 3.0|PcsgB: 831030.6899793465|
Lslg: 15.3|v0: -0.0872769158369835|PtbgT: 612963.1671356977|Hplg: -8.113243825402297E-4|Ltbg: 0.07322852981247284|PcsgT: 766581.4599907402|gasflow: 14876.345227443528|tempo: 0.34000000000000014|Qlres: 24.96031078430122|pp: 640877.6326461917|stage: 3.0|PcsgB: 837739.4278740451|
Lslg: 15.3|v0: -0.0589441357409738|PtbgT: 612961.9346367306|Hplg: -5.154810857192482E-4|Ltbg: 0.07895715053380382|PcsgT: 770089.3587412459|gasflow: 14870.69547282097|tempo: 0.35000000000000014|Qlres: 24.950831330236525|pp: 640876.3434059067|stage: 3.0|PcsgB: 841572.9475267696|
Lslg: 15.3|v0: -0.025607836339347233|PtbgT: 612961.716073209|Hplg: -1.6961154397953453E-4|Ltbg: 0.08468359156782719|PcsgT: 773597.2275409582|gasflow: 14865.030975362173|tempo: 0.36000000000000015|Qlres: 24.94132713986942|pp: 640876.1147802377|stage: 3.0|PcsgB: 845406.4344485166|
Lslg: 15.388733375929323|v0: 0.012414561300908993|PtbgT: 612961.6139150985|Hplg: 2.436125782865684E-4|Ltbg: 2.436125782865617E-4|PcsgT: 775351.1506848834|gasflow: 14860.772927585604|tempo: 0.37000000000000016|Qlres: 24.934182764405374|pp: 640876.0079190087|stage: 3.0|PcsgB: 847323.1656086267|
Lslg: 15.388733375929323|v0: 0.012414561300908993|PtbgT: 612961.6139150985|Hplg: 2.436125782865684E-4|Ltbg: 2.436125782865617E-4|PcsgT: 775351.1506848834|gasflow: 14860.772927585604|tempo: 0.38000000000000017|Qlres: 24.934182764405374|pp: 640876.0079190087|stage: 3.0|PcsgB: 847323.1656086267|
Lslg: 15.391581570100117|v0: 0.09261746007645437|PtbgT: 612960.5414266445|Hplg: 0.0031188380695634293|Ltbg: 0.0031188380695634293|PcsgT: 778320.8844991145|gasflow: 14857.18270368379|tempo: 0.3900000000000002|Qlres: 24.928158898798305|pp: 640874.8860664887|stage: 3.0|PcsgB: 850699.7523044917|
Lslg: 15.391762869807465|v0: 0.15898091917001375|PtbgT: 612962.0989314264|Hplg: 0.007317958937515994|Ltbg: 0.005798427460084996|PcsgT: 779934.5797253852|gasflow: 14854.339478564818|tempo: 0.4000000000000002|Qlres: 24.92338838685372|pp: 640876.5152754477|stage: 3.0|PcsgB: 852476.2365547731|
